No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
599,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
600,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
601,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
602,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
603,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus
604,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
605,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
606,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
607,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
608,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pengembangan
609,PTBA,Bukit Asam (Persero) Tbk.,23 Des 2002,11.520.659.250,Utama
610,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Pengembangan
611,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
612,PTRO,Petrosea Tbk.,21 Mei 1990,10.086.050.000,Utama
613,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
614,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
615,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
616,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
617,PYFA,Pyridam Farma Tbk,16 Okt 2001,11.236.750.970,Pengembangan
618,RAJA,Rukun Raharja Tbk.,19 Apr 2006,21.135.412.500,Utama
619,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
620,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
621,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pengembangan
622,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
623,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
624,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pengembangan
625,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
626,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
627,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pengembangan
628,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
629,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
630,SAFE,Steady Safe Tbk,15 Agt 1994,821.207.512,Pemantauan Khusus
631,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,17.164.632.545,Utama
632,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
633,SCMA,Surya Citra Media Tbk.,16 Jul 2002,63.564.703.280,Utama
634,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,3.600.000,Pemantauan Khusus
635,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,2.250.691.100,Pengembangan
636,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
637,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
638,SGRO,Prime Agri Resources Tbk.,18 Jun 2007,1.818.622.000,Utama
639,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
640,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
641,SILO,Siloam International Hospitals,12 Sep 2013,13.006.125.000,Utama
642,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus
643,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.501.310.000,Utama
644,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.839.102.056,Pengembangan
645,SKBM,Sekar Bumi Tbk.,28 Sep 2012,1.730.103.217,Pengembangan
646,SKLT,Sekar Laut Tbk.,08 Sep 1993,6.907.405.000,Pengembangan
647,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
648,SMAR,Sinar Mas Agro Resources and T,20 Nov 1992,2.872.193.366,Utama
649,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,Utama
650,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus
651,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
652,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
653,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama
654,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Pengembangan
655,SMMT,Golden Eagle Energy Tbk.,01 Des 1997,3.425.000.000,Pengembangan
656,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
657,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pemantauan Khusus
658,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
659,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Pengembangan
660,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pemantauan Khusus
661,SPMA,Suparma Tbk.,16 Nov 1994,5.330.410.085,Pengembangan
662,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pengembangan
663,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.238.959.990,Pengembangan
664,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus
665,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan
666,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
667,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
668,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
669,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pengembangan
670,STAR,Calculus Global Ventures Tbk.,13 Jul 2011,4.800.000.602,Pengembangan
671,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
672,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pemantauan Khusus
673,SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan
674,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
675,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan
676,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
677,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
678,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
679,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,6.025.373.372,Utama
680,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan
681,TCID,Mandom Indonesia Tbk.,30 Sep 1993,402.133.334,Pengembangan
682,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus
683,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus
684,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
685,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
686,TINS,TIMAH (Persero) Tbk.,19 Okt 1995,7.447.753.454,Utama
687,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
688,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus
689,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
690,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
691,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
692,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
693,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.319.512.975,Utama
694,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
695,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Utama
696,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
697,TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Utama
698,TPMA,Trans Power Marine Tbk.,20 Feb 2013,3.507.420.034,Utama
699,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Pemantauan Khusus
700,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
701,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
702,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus
703,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan
704,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan
705,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
706,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.509.864.300,Utama
707,ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,10.398.175.200,Utama
708,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
709,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pemantauan Khusus
710,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,17.005.275.078,Pemantauan Khusus
711,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
712,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
713,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
714,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.553.430.759,Pengembangan
715,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus
716,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
717,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
718,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
719,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
720,WICO,Wicaksana Overseas Internation,08 Agt 1994,2.393.710.348,Pemantauan Khusus
721,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
722,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pemantauan Khusus
723,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.523.065.893,Utama
724,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan
725,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus
726,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama
727,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pengembangan
728,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
729,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pemantauan Khusus
730,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,Utama
731,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan
732,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,Pengembangan
733,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,Pengembangan
734,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan
735,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,Pengembangan
736,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Pengembangan
737,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus
738,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus
739,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
740,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan
741,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama
742,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pemantauan Khusus
743,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,56.959.163.746,Pemantauan Khusus
744,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan
745,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
746,BOGA,Apollo Global Interactive Tbk.,19 Des 2016,3.803.526.210,Pengembangan
747,BRIS,Bank Syariah Indonesia (Perser,09 Mei 2018,45.667.877.639,Utama
748,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Utama
749,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,15.000.000.000,Utama
750,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,9.843.750.000,Pengembangan
751,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,24.000.000.000,Utama
752,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,37.500.000.000,Pemantauan Khusus
753,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.829.803.904,Pengembangan
754,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus
755,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.475.363.179,Pengembangan
756,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus
757,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
758,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
759,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.387.922.900,Pemantauan Khusus
760,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.437.500.000,Utama
761,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama
762,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,Pemantauan Khusus
763,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,9.677.752.680,Pengembangan
764,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
765,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
766,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus
767,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan
768,BELL,Trisula Textile Industries Tbk,03 Okt 2017,7.250.000.000,Pengembangan
769,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,1.075.862.960,Pengembangan
770,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,124.835.258.434,Pengembangan
771,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan
772,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pemantauan Khusus
773,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Pengembangan
774,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan
775,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan
776,PSSI,IMC Pelita Logistik Tbk.,05 Des 2017,5.417.063.153,Utama
777,MORA,Ekamas Mora Republik Tbk.,08 Agt 2022,47.774.192.736,Utama
778,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,9.252.820.991,Pengembangan
779,PBID,Panca Budi Idaman Tbk.,13 Des 2017,7.500.000.000,Utama
780,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
781,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,Pengembangan
782,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Utama
783,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pemantauan Khusus
784,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
785,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,Pemantauan Khusus
786,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan
787,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Pemantauan Khusus
788,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pemantauan Khusus
789,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan
790,TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,10.485.050.500,Pemantauan Khusus
791,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.899.852.850,Pengembangan
792,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
793,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama
794,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama
795,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan
796,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,15.365.950.000,Utama
797,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pemantauan Khusus
798,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Pengembangan
799,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama
800,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,60.676.178.205,Utama
801,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus
802,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
803,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,28.504.000.000,Utama
804,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,Pengembangan
805,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
806,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,16.198.599.990,Pengembangan
807,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan
808,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus
809,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
810,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Pengembangan
811,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pemantauan Khusus
812,FILM,MD Entertainment Tbk.,07 Agt 2018,10.887.566.758,Utama
813,ANDI,Andira Agro Tbk.,16 Agt 2018,9.350.000.000,Pemantauan Khusus
814,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pengembangan
815,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan
816,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,18.189.502.198,Utama
817,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,1.625.000.000,Pemantauan Khusus
818,CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan
819,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
820,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,Pengembangan
821,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,Pemantauan Khusus
822,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
823,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,Pemantauan Khusus
824,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36.897.901.455,Utama
825,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama
826,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,1.912.774.405,Pengembangan
827,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan
828,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
829,SOSS,ALSOK Indonesia Services Tbk.,06 Nov 2018,974.525.743,Pemantauan Khusus
830,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus
831,POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pengembangan
832,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,1.428.571.400,Pengembangan
833,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
834,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pemantauan Khusus
835,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.003.979,Pengembangan
836,ZONE,Mega Perintis Tbk.,12 Des 2018,870.171.478,Pengembangan
837,PEHA,Phapros Tbk.,26 Des 2018,840.000.000,Pengembangan
838,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,650.000.000,Pemantauan Khusus
839,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,8.120.249.598,Pengembangan
840,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pengembangan
841,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,2.570.000.000,Pengembangan
842,NATO,Olympus Strategic Indonesia Tb,18 Jan 2019,8.001.111.504,Pengembangan
843,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan
844,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,14.237.823.696,Pengembangan
845,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus
846,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus
847,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,5.958.750.000,Pemantauan Khusus
848,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus
849,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan
850,FITT,Fortune Resources Investment T,11 Jun 2019,1.304.272.051,Pengembangan
851,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,6.000.000.000,Utama
852,CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan
853,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
854,POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
855,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
856,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus
857,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
858,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan
859,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,42.197.950.841,Pemantauan Khusus
860,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan
861,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
862,EAST,Eastparc Hotel Tbk.,09 Jul 2019,4.126.405.336,Pengembangan
863,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
864,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
865,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,Utama
866,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
867,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
868,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
869,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Utama
870,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
871,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
872,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
873,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan
874,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
875,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan
876,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.463.367.996,Pengembangan
877,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
878,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
879,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
880,SINI,Singaraja Putra Tbk.,08 Nov 2019,1.202.500.000,Pengembangan
881,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pengembangan
882,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pengembangan
883,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Utama
884,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Utama
885,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
886,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
887,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pemantauan Khusus
888,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
889,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
890,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
891,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
892,GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Utama
893,PGJO,Bahtera Bumi Raya Tbk.,08 Jan 2020,795.859.095,Akselerasi
894,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Utama
895,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Pengembangan
896,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
